DOY,Ta (C),Tmax (C),RH (%),wind_speed (ms-1),wind_dir (Deg),precip (mm)
211,18.35,23.90,87.7,1.85,211.08,0
212,18.13,25.20,93.99,1.7,193.23,6.86
213,19.56,27.00,88.56,3.03,226.11,20.07
214,18.75,26.00,89.9,2.25,244.17,3.05
215,18.71,25.50,81.91,3.76,244.21,0
216,17.07,24.40,79.22,3.52,223.47,0
217,16.64,23.90,80.39,2.73,225.19,0
218,19.32,25.00,88.49,2.34,158.69,0
219,21.96,28.50,93.63,2.86,172.37,0.51
220,22.96,25.50,84.18,2.59,163.56,0
221,21.59,28.30,69.99,3.58,196.11,0
222,18.14,24.80,73.33,3.04,225.66,0
223,17.88,26.00,83.12,2.14,220.79,0
224,18.58,24.70,92.27,1.67,212.8,0
225,17.03,21.50,83.55,4.63,239.09,0
226,16.38,23.00,73.68,4.33,219.11,0
227,16.36,25.00,78.13,2.74,251.71,0
228,17.67,27.00,84.23,2.5,225.36,0
229,18.73,28.00,81.13,2.27,214.35,0
230,19.41,25.00,86.04,2.45,202.15,0
231,20.76,29.80,78.62,2.4,239.04,0
232,22.17,31.00,81.11,2.71,232.03,0
233,23.16,32.50,82.56,2.44,201.87,0
234,22.78,30.50,78.81,3.29,203.26,0
235,18.13,25.00,79.71,2.58,187.42,0
236,17.66,25.50,82.51,2.47,224.21,0
237,19.88,29.50,85.46,2.5,210.49,1.02
238,21.51,27.00,99.82,1.71,203.9,18.29
239,22.41,28.50,96.8,1.85,190.95,27.68
240,22.63,27.00,98.07,1.8,180.02,0.25
241,22.81,29.50,92.01,1.84,223.29,0
242,22.62,29.10,94.78,1.71,209.74,2.03
243,21.86,29.50,98.13,2.05,181.8,0
244,21.2,24.00,96.81,3.42,140.35,0.25
245,20.65,26.00,90.97,3.34,229.07,0
246,16.85,27.00,87.26,3.75,234.69,0
247,17.79,21.80,86.66,3.5,239.73,0
248,13.13,19.20,75.56,3.55,196.14,0
249,13.8,24.00,79.77,2.27,230.91,0
250,16.72,21.00,100.39,1.19,163.13,16.76
251,16.24,21.00,85.04,3.57,171.97,0
252,14.81,25.50,93.88,2.12,204.67,0
253,24.33,34.80,91.15,2.55,187.15,0
254,23.82,32.70,93.19,2.71,204.44,19.3
255,19.26,24.00,96.14,2.93,229.82,0
256,11.87,13.00,80.5,4.17,165.5,0
257,10.73,19.00,83.57,2.3,200.44,0
258,13.25,19.80,95.68,1.55,198.33,1.52
259,11.03,16.00,90.02,3.64,175.44,0
260,9.51,16.00,90.44,2.85,215.34,0
261,12.62,22.50,90.95,2.45,218.92,0
262,15.31,23.00,98.46,1.95,214.16,0
263,19.7,24.50,99.19,2.57,188.13,11.94
264,15.13,15.70,103.7,2.33,209.13,26.16
265,9.66,14.00,93.08,2.63,211.76,0
266,10.8,17.00,86.31,2.06,204.25,0
267,10.48,18.50,90.83,2.17,232.25,0
268,12.26,21.50,89.83,1.93,231.79,0
269,12.93,21.00,91.4,2.1,216.8,0
270,13.09,18.50,93.75,2.79,206.03,0
271,13.78,19.50,98.82,3.02,187.14,0
272,15.54,22.20,97.14,1.67,208.29,0.25
273,16.99,21.00,102.36,1.74,164.97,1.78
274,17.19,25.50,94.64,2.57,211.92,0
275,17.54,26.00,81.42,2.51,224.42,0
276,13.78,21.00,85.44,2.2,179.53,0
277,15.88,17.20,100.8,3.55,119.02,12.45
278,15.68,16.70,92.35,4.57,99.87,0
279,16.7,19.00,100.86,4.5,117.46,0.51
280,12.99,16.00,95.75,3.3,207.4,8.64
281,10.26,18.00,94.08,1.83,237.2,0
282,10.88,19.00,94.94,2.84,209.45,0
283,11.67,18.50,96.14,2.49,229.19,0
284,10.74,19.00,92.55,2.59,234.39,0
285,12.73,18.20,93.18,3.55,188.74,0
286,14.64,17.80,102.51,1.24,171.29,6.86
287,10.93,17.50,95.89,2.29,206.11,0
288,12.51,17.50,96.85,2.93,172.13,0
289,15.9,22.00,97.59,3.62,209.73,5.59
290,12.03,17.00,97.08,1.97,192.29,7.62
291,9.89,15.50,91.96,2.81,223.41,0
292,7.29,10.50,102.78,1.82,220.51,5.08
293,6.46,14.00,91.29,2.07,217.65,0
294,11.46,16.50,93.35,3.87,203.6,6.1
295,5.18,9.00,87.88,3.38,220.52,0
296,4.73,10.00,85.09,3.08,239.14,0
297,4.45,8.50,89.7,4.42,246.45,0
298,4.48,10.40,93.12,3.28,256,0.25
299,5.29,6.50,93.12,4.8,223.08,8.89
300,4.47,9.50,93.1,2.94,232.01,0.25
301,4.3,8.50,76.03,3.44,183.16,0
302,1.97,6.00,88.4,2.33,207.79,0
303,5.31,11.00,96.07,1.82,188.51,0
304,11.66,18.00,102.25,4.85,191.63,15.24
305,12.26,13.00,89.09,6.22,200.29,2.03
306,5.97,8.00,95.46,3.51,156.98,1.78
307,-0.33,3.50,80.12,2.94,185.68,0
308,1.02,8.00,82.8,4.02,195.12,0
309,6.72,14.50,85.65,2.58,184.28,0
310,11.61,15.00,88.15,4.78,194.71,5.84
311,5.66,8.50,83.66,5.92,255.7,0.51
312,3.12,9.00,84.4,4.15,250.11,0
313,6.22,11.00,84.1,4.33,209.44,0
314,5.82,8.50,84.14,6.87,252.23,1.27
315,2.26,7.00,87.85,4.39,234.91,0.25
316,-2.83,1.90,78.39,4.27,244.36,0
317,-0.53,4.00,72.56,4.81,240.46,0
318,4.66,11.00,61.35,5.59,218.37,0
319,6.94,13.50,62.54,4.25,221.19,0
320,7.17,13.20,86.97,2.27,168.27,0
321,12.23,16.50,96.66,5.54,165.6,12.45
322,6.15,8.00,79.52,9.79,252.39,0
323,0.84,3.50,74.21,5.14,238.99,0
324,-1.14,5.00,90.3,4.92,174.85,0
325,3.58,8.00,91.76,2.59,164.66,1.52
326,4.85,9.00,98.83,3.54,218.18,4.57
327,-3.15,0.00,78.74,7.16,254.96,0
328,-8.1,-2.00,80.88,4.36,239.63,0
329,-1.69,3.00,73.44,6.4,234.51,0
330,0.34,1.50,92.84,2.45,209.44,0
331,-1.84,1.00,89.87,4.07,266.02,3.3
332,-5.69,-2.20,88.8,2.33,226.58,1.02
333,-6.81,-1.50,89.82,2.11,222.25,0.25
334,-1.46,3.80,86.06,4.35,181.05,0
335,1.5,4.20,100.01,0.83,216.88,1.02
336,1.03,3.00,98.67,1.93,260.44,0
337,-0.23,4.00,88.54,2.79,190.81,0
338,2.83,9.50,100.35,6.96,92.17,2.03
339,6.77,16.00,89.28,4.95,208.69,0
340,0.1,1.00,72.32,4.52,267.29,0
341,-3.61,-2.00,71.39,4.82,266.22,0
342,-4.78,1.00,78.26,4.07,181.91,0
343,-0.82,1.00,89.6,6.8,210.72,1.27
344,-6.48,-4.90,71.51,6.09,256.08,0
345,-7.31,-4.20,81.38,6.33,262.57,0
346,-9.73,-4.50,79,6.56,250.75,0.25
347,-8.12,-7.50,76.53,5.27,164.8,0
348,-11.73,-6.00,89.22,7.36,68.47,4.83
349,-8.46,-9.00,92.02,4.84,229.79,7.87
350,-12.41,-6.50,86.78,2.72,252.85,0
351,-7.73,-3.50,94.59,2.18,231.83,1.27
352,-2.97,0.00,89.76,4.09,241.8,0
353,-1.18,4.00,92.11,2.16,240.44,0
354,0.36,2.00,103.84,2.74,139.07,7.11
355,0.19,0.50,104.17,2.61,119.71,12.45
